#t_ns,in_ts
7702445583415,73432226050331
7702478864715,73432259132757
7702512155315,73432292842148
7702545449515,73432325882101
7702578733515,73432359126846
7702612022015,73432391862683
7702645311615,73432425521021
7702678601515,73432459931765
7702711892115,73432492660729
7702745179415,73432526683544
7702778469815,73432559608335
7702811759615,73432593056594
7702845047715,73432626240766
7702878338215,73432659134929
7702911627815,73432692136424
7702944916715,73432725672850
7702978208515,73432758983362
7703011494615,73432792875354
7703044785115,73432825972021
7703078080815,73432859136820
7703111362915,73432893140361
7703144653515,73432926810843
7703177948615,73432959332570
7703211230715,73432993018436
7703244521515,73433026330636
7703277847315,73433058934935
7703311100515,73433092134581
7703344389115,73433125854776
7703377678015,73433159315156
7703410968315,73433193067651
7703444256515,73433226106001
7703477546015,73433258701152
7703510836315,73433291878469
7703544144815,73433325394671
7703577413715,73433359530650
7703610704515,73433392682862
7703643994215,73433426275395
7703677283515,73433460767011
7703710574915,73433493324061
7703743861015,73433525953685
7703777152515,73433559388305
7703810448515,73433592669348
7703843729315,73433626751063
7703877019815,73433660924654
7703910314515,73433693034848
7703943597015,73433726120675
7703976888215,73433760144847
7704010183915,73433792718843
7704043466715,73433826128363
7704076755415,73433859189386
7704110043815,73433893107011
7704143336015,73433926290594
7704176622815,73433959858385
7704209912015,73433992792602
7704243202615,73434026361680
7704276492015,73434059939461
7704309780815,73434088874622
7704343070815,73434126463330
7704376360215,73434159927541
7704409657515,73434193395554
7704442941215,73434222835008
7704476227315,73434260134144
7704509517815,73434293368418
7704542811715,73434326757171
7704576099015,73434359653074
7704609386315,73434393417796
7704642683415,73434426523085
7704675963715,73434459366444
7704709254315,73434492381022
7704742549915,73434526890399
7704775831915,73434559240547
7704809122615,73434592926717
7704842412115,73434626491576
7704875729215,73434659123187
7704908989615,73434692848848
7704942278415,73434722548606
7704975568915,73434759497237
7705008858415,73434792967624
7705042147015,73434826315976
7705075436915,73434858988060
7705108727815,73434887919807
7705142014515,73434926177184
7705175307315,73434958945031
7705208594215,73434992094415
7705241883915,73435025959602
7705275178915,73435058716924
7705308461915,73435092150011
7705341752815,73435125417514
7705375049215,73435154698370
7705408330315,73435192744956
7705441621115,73435225581739
7705474917415,73435259088495
7705508197815,73435292232498
7705541488215,73435325274314
7705574778115,73435359018631
7705608067215,73435392347307
7705641356815,73435425347321
7705674645315,73435459224460
7705707935615,73435492249872
7705741242215,73435525660944
7705774513015,73435559334783
7705807803715,73435592236450
7705841101715,73435625610981
7705874381915,73435655227581
7705907674515,73435692759157
7705940961615,73435726377743
7705974250715,73435759015001
7706007545515,73435792816052
7706040828215,73435826326753
7706074118815,73435859709354
7706107412915,73435892679812
7706140696415,73435926226788
7706173986615,73435959122064
7706207314715,73435992785180
7706240564215,73436026049143
7706273854915,73436059268036
7706307144815,73436092296007
7706340435615,73436126265227
7706373723215,73436154929713
7706407010915,73436192632231
7706440302915,73436226248664
7706473607515,73436259572161
7706506879715,73436291742072
7706540170415,73436326080491
7706573460115,73436359226705
7706606747415,73436393057355
7706640038915,73436426257595
7706673329315,73436459404592
7706706617815,73436492927105
7706739911715,73436525636324
7706773194715,73436559478074
7706806486015,73436592514059
7706839779015,73436621772474
7706873063015,73436658525666
7706906353515,73436692255343
7706939648715,73436721983049
7706972931015,73436760196045
7707006221715,73436788270305
7707039515715,73436826907798
7707072821615,73436854587824
7707106089815,73436893384419
7707139377615,73436921105516
7707172691415,73436959581201
7707205956115,73436993078440
7707239245915,73437026086921
7707272536415,73437059205413
7707305825615,73437092203340
7707339114315,73437121489930
7707372406715,73437159071698
7707405694815,73437192478539
7707438982015,73437221704891
7707472278415,73437259637105
7707505561115,73437286990884
7707538890915,73437326136646
7707572145815,73437354123999
7707605428915,73437386892927
7707638719515,73437420496099
7707672015515,73437459872384
7707705297215,73437488383304
7707738587615,73437527110088
7707771881815,73437554661153
7707805165415,73437593935498
7707838455615,73437621792386
7707871744115,73437660578678
7707905034415,73437692788111
7707938323515,73437726360299
7707971612415,73437759682253
7708004902815,73437793173921
7708038192815,73437826082252
7708071480515,73437859127730
7708104771715,73437892236831
7708138060515,73437925700997
7708171348515,73437958950238
7708204644615,73437992113065
7708237927515,73438025694023
7708271217815,73438058860257
7708304512315,73438092162607
7708337795215,73438120256069
7708371089215,73438159144955
7708404403815,73438192372904
7708437663715,73438226129814
7708470954115,73438258905463
7708504281815,73438292234815
7708537531215,73438325475079
7708570822215,73438358900271
7708604111915,73438392666169
7708637400215,73438425663771
7708670690815,73438459136706
7708703978715,73438492215570
7708737269015,73438525662928
7708770557115,73438558855412
7708803847115,73438592234336
7708837137715,73438620593590
7708870426315,73438659134022
7708903715015,73438692244123
7708937010915,73438725462194
7708970295115,73438758496866
7709003585115,73438792371045
7709036879615,73438825223756
7709070162015,73438859162990
7709103453215,73438886815859
7709136747015,73438925593397
7709170030315,73438954214197
